1|++|[]|['69047']|[]|['Left*']
2|++|[]|['69050']|[]|['Left*']
3|++|[]|['69045']|[]|['Left*']
4|++|[]|['69048']|[]|['Left*']
5|++|[]|['69046']|[]|['Left*']
6|F+superior+sim|[]|['69046']|[]|['Left*']
7|++|[]|['69049']|[]|['Left*']
8|++|[]|['69043']|[]|['Left*']
9|++|[]|['69045']|[]|['Left*']
10|++|[]|['69043']|[]|['Left*']
11|F+superior+sim|[]|['69045']|[]|['Left*']
12|++|[]|['69047']|[]|['Left*']
13|++|[]|['69048']|[]|['Left*']
14|++|[]|['69043']|[]|['Left*']
15|++|[]|['69044']|[]|['Left*']
16|++|[]|['69050']|[]|['Left*']
17|++|[]|['69046']|[]|['Left*']
18|++|[]|['69049']|[]|['Left*']
19|++|[]|['69045']|[]|['Left*']
20|++|[]|['69050']|[]|['Left*']
21|++|[]|['69043']|[]|['Left*']
22|++|[]|['69046']|[]|['Left*']
23|++|[]|['69044']|[]|['Left*']
24|++|[]|['69044']|[]|['Left*']
25|M+superior+sim|[]|['69046']|[]|['Left*']
26|++|[]|['69048']|[]|['Left*']
27|++|[]|['69046']|[]|['Left*']
28|++|[]|['69049']|[]|['Left*']
29|++|[]|['69045']|[]|['Left*']
30|M+superior+sim|[]|['69043']|[]|['Left*']
31|F+superior+sim|[]|['69043']|[]|['Left*']
32|++|[]|['69048']|[]|['Left*']
33|++|[]|['69044']|[]|['Left*']
34|M+superior+sim|[]|['69048']|[]|['Left*']
35|++|[]|['69049']|[]|['Left*']
36|M+medio+nao|[]|['69047']|[]|['Left*']
37|++|[]|['69049']|[]|['Left*']
38|++|[]|['69048']|[]|['Left*']
39|M+superior+nao|[]|['69047']|[]|['Left*']
40|++|[]|['69045']|[]|['Left*']
41|++|[]|['69046']|[]|['Left*']
42|++|[]|['69044']|[]|['Left*']
43|F+superior+nao|[]|['69046']|[]|['Left*']
44|++|[]|['69050']|[]|['Left*']
45|++|[]|['69044']|[]|['Left*']
46|M+superior+nao|[]|['69049']|[]|['Left*']
47|++|[]|['69044']|[]|['Left*']
48|++|[]|['69050']|[]|['Left*']
49|++|[]|['69050']|[]|['Left*']
50|++|[]|['69049']|[]|['Left*']
51|++|[]|['69043']|[]|['Left*']
52|M+superior+sim|[]|['69048']|[]|['Left*']
53|++|[]|['69045']|[]|['Left*']
54|++|[]|['69049']|[]|['Left*']
55|++|[]|['69046']|[]|['Left*']
56|++|[]|['69049']|[]|['Left*']
57|++|[]|['69045']|[]|['Left*']
58|F+superior+nao|[]|['69049']|[]|['Left*']
59|++|[]|['69048']|[]|['Left*']
60|M+superior+nao|[]|['69047']|[]|['Left*']
61|++|[]|['69050']|[]|['Left*']
62|++|[]|['69044']|[]|['Left*']
63|++|[]|['69047']|[]|['Left*']
64|++|[]|['69044']|[]|['Left*']
65|++|[]|['69045']|[]|['Left*']
66|F+superior+nao|[]|['69046']|[]|['Left*']
67|++|[]|['69050']|[]|['Left*']
68|++|[]|['69048']|[]|['Left*']
69|++|[]|['69045']|[]|['Left*']
70|++|[]|['69044']|[]|['Left*']
71|F+superior+sim|[]|['69044']|[]|['Left*']
72|++|[]|['69050']|[]|['Left*']
73|++|[]|['69049']|[]|['Left*']
74|++|[]|['69048']|[]|['Left*']
75|++|[]|['69046']|[]|['Left*']
76|++|[]|['69048']|[]|['Left*']
77|++|[]|['69044']|[]|['Left*']
78|++|[]|['69045']|[]|['Left*']
79|++|[]|['69046']|[]|['Left*']
80|++|[]|['69047']|[]|['Left*']
81|++|[]|['69050']|[]|['Left*']
82|++|[]|['69044']|[]|['Left*']
83|++|[]|['69043']|[]|['Left*']
84|++|[]|['69045']|[]|['Left*']
