image,street_wid,sidewalk_wid,landscape,build_ident,trees
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_248_360.jpg,20,8,4,6,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_370_22.jpg,20,5,1,0,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_306_203.jpg,24,6,4,0,4
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1136_135.jpg,40,8,3,0,4
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_54_203.jpg,20,8,3,1,1
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_360_360.jpg,20,8,4,2,3
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1136_203.jpg,40,8,2,0,4
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_188_22.jpg,28,5,3,3,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_500_270.jpg,40,5,3,0,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_70_135.jpg,20,6,2,0,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_54_22.jpg,32,8,4,0,7
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_54_293.jpg,32,8,3,0,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_306_22.jpg,40,8,4,0,3
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_392_225.jpg,20,2,2,3,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_188_315.jpg,20,4,2,3,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_602_315.jpg,32,8,4,0,3
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_248_90.jpg,20,8,4,3,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_130_90.jpg,20,8,5,3,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_360_22.jpg,32,6,3,0,2
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_300_315.jpg,20,4,2,0,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_500_22.jpg,40,7,2,0,1
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1546_315.jpg,40,8,4,0,4
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_392_293.jpg,20,2,3,3,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_360_180.jpg,20,6,4,2,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_370_315.jpg,20,4,1,0,2
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_392_112.jpg,28,7,2,0,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_120_22.jpg,20,5,4,0,5
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1136_315.jpg,40,7,3,0,4
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_248_180.jpg,20,8,4,1,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_222_203.jpg,20,4,3,1,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_190_90.jpg,20,8,4,2,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_360_203.jpg,40,5,2,0,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_239_203.jpg,40,7,5,0,2
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_239_22.jpg,40,7,5,0,4
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_306_135.jpg,36,6,4,0,4
